country,stable,stable_per2000,stable_per2020,increase increase,increase increase percent,increase decrease,increase decrease percent,decrease increase,decrease increase percent,decrease decrease,decrease decrease percent,total increase per,total increase,total decrease per,total decrease,forest edge 2000,forest edge 2020
Brunei,6899.0071,0.622441665,0.642275841,1149.3253,0.106998567,2693.1694,0.250725592,2705.9394,0.244135047,1478.8345,0.133423288,0.357724159,3842.4947,0.377558335,4184.7739,11083.781,10741.5018
Monaco,134.1198,0.881194305,0.915354806,11.678,0.079701233,0.7244,0.004943961,15.7754,0.10364758,2.3071,0.015158115,0.084645194,12.4024,0.118805695,18.0825,152.2023,146.5222
Algeria,294267.0601,0.815534923,0.817997667,48784.4301,0.13560998,16689.2181,0.046392353,39428.3027,0.109272026,27131.687,0.075193052,0.182002333,65473.6482,0.184465077,66559.9897,360827.0498,359740.7083
Mozambique,3998453.202,0.691840794,0.810162486,166751.6987,0.033787058,770167.0407,0.156050456,310021.9803,0.053642207,1470966.037,0.254516999,0.189837514,936918.7394,0.308159206,1780988.017,5779441.22,4935371.942
eSwatini,115659.1491,0.819843415,0.900155331,6513.6803,0.050694857,6315.1605,0.049149812,9568.5811,0.067826352,15846.9518,0.112330232,0.099844669,12828.8408,0.180156585,25415.5329,141074.682,128487.9899
Burundi,209828.1768,0.859599239,0.967190687,2301.9638,0.010610767,4815.8862,0.022198545,11524.2882,0.04721134,22747.5381,0.093189422,0.032809313,7117.85,0.140400761,34271.8263,244100.0031,216946.0268
Rwanda,141275.5027,0.805043123,0.958965723,2667.1733,0.018104538,3378.0251,0.022929738,10589.9952,0.060345939,23622.6203,0.134610939,0.041034277,6045.1984,0.194956877,34212.6155,175488.1182,147320.7011
Myanmar,1099056.664,0.63668224,0.606114916,138900.0266,0.07660149,575324.3138,0.317283594,279423.0727,0.161869459,347745.0497,0.201448301,0.393885084,714224.3404,0.36331776,627168.1224,1726224.786,1813281.004
Bangladesh,610760.4128,0.798116679,0.794249776,115084.0925,0.149658545,43133.2536,0.056091679,131848.6237,0.172294378,22642.9988,0.029588943,0.205750224,158217.3461,0.201883321,154491.6225,765252.0353,768977.7589
Andorra,1989.6182,0.938695391,0.951119111,73.9403,0.035346496,28.3122,0.013534393,80.6895,0.038069043,49.2491,0.023235565,0.048880889,102.2525,0.061304609,129.9386,2119.5568,2091.8707
Afghanistan,67349.8702,0.829032472,0.838806796,8980.6282,0.111848946,3961.9724,0.049344258,3837.1136,0.047232337,10052.1383,0.123735191,0.161193204,12942.6006,0.170967528,13889.2519,81239.1221,80292.4708
Montenegro,79076.301,0.845039341,0.8845873,4412.5225,0.049360697,5904.6157,0.066052003,6511.61,0.069585534,7989.1536,0.085375125,0.1154127,10317.1382,0.154960659,14500.7636,93577.0646,89393.4392
Bosnia and Herzegovina,233684.1324,0.824816964,0.907184432,14260.2568,0.055359698,9648.3606,0.03745587,35634.5571,0.125776564,13997.6614,0.049406472,0.092815568,23908.6174,0.175183036,49632.2185,283316.3509,257592.7498
